Model,Folder_name,Structure,Survival,Maturity,Selectivity,Convergence
1,model.1_111,Surv(1) Mat(1) Sel(1),1980-2017,1980-2017,1980-2017,1
2,model.2_211,Surv(2) Mat(1) Sel(1),1980-1998; 1999-2017,1980-2017,1980-2017,1
3,model.3_211,Surv(2) Mat(1) Sel(1),1980-2014; 2015-2017,1980-2017,1980-2017,1
4,model.4_311,Surv(3) Mat(1) Sel(1),1980-1998; 1999-2014; 2015-2017,1980-2017,1980-2017,0
5,model.5_121,Surv(1) Mat(2) Sel(1),1980-2017,1980-1998; 1999-2017,1980-2017,1
6,model.6_122,Surv(1) Mat(2) Sel(2),1980-2017,1980-1998; 1999-2017,1980-1998; 1999-2017,0
7,model.7_221,Surv(2) Mat(2) Sel(1),1980-1998; 1999-2017,1980-1998; 1999-2017,1980-2017,1
8,model.8_222,Surv(2) Mat(2) Sel(2),1980-1998; 1999-2017,1980-1998; 1999-2017,1980-1998; 1999-2017,1
9,model.9_221,Surv(2) Mat(2) Sel(1),1980-2014; 2015-2017,1980-1998; 1999-2017,1980-2017,1
10,model.10_222,Surv(2) Mat(2) Sel(2),1980-2014; 2015-2017,1980-1998; 1999-2017,1980-1998; 1999-2017,0
11,model.11_321,Surv(3) Mat(2) Sel(1),1980-1998; 1999-2014; 2015-2017,1980-1998; 1999-2017,1980-2017,0
12,model.12_322,Surv(3) Mat(2) Sel(2),1980-1998; 1999-2014; 2015-2017,1980-1998; 1999-2017,1980-1998; 1999-2017,0
13,model.13_121,Surv(1) Mat(2) Sel(1),1980-2017,1980-2014; 2015-2017,1980-2017,1
14,model.14_122,Surv(1) Mat(2) Sel(2),1980-2017,1980-2014; 2015-2017,1980-2014; 2015-2017,0
15,model.15_221,Surv(2) Mat(2) Sel(1),1980-1998; 1999-2017,1980-2014; 2015-2017,1980-2017,1
16,model.16_222,Surv(2) Mat(2) Sel(2),1980-1998; 1999-2017,1980-2014; 2015-2017,1980-2014; 2015-2017,1
17,model.17_221,Surv(2) Mat(2) Sel(1),1980-2014; 2015-2017,1980-2014; 2015-2017,1980-2017,1
18,model.18_222,Surv(2) Mat(2) Sel(2),1980-2014; 2015-2017,1980-2014; 2015-2017,1980-2014; 2015-2017,1
19,model.19_321,Surv(3) Mat(2) Sel(1),1980-1998; 1999-2014; 2015-2017,1980-2014; 2015-2017,1980-2017,0
20,model.20_322,Surv(3) Mat(2) Sel(2),1980-1998; 1999-2014; 2015-2017,1980-2014; 2015-2017,1980-2014; 2015-2017,0
21,model.21_131,Surv(1) Mat(3) Sel(1),1980-2017,1980-1998; 1999-2014; 2015-2017,1980-2017,1
22,model.22_132,Surv(1) Mat(3) Sel(2),1980-2017,1980-1998; 1999-2014; 2015-2017,1980-1998; 1999-2017,1
23,model.23_132,Surv(1) Mat(3) Sel(2),1980-2017,1980-1998; 1999-2014; 2015-2017,1980-2014; 2015-2017,0
24,model.24_133,Surv(1) Mat(3) Sel(3),1980-2017,1980-1998; 1999-2014; 2015-2017,1980-1998; 1999-2014; 2015-2017,0
25,model.25_231,Surv(2) Mat(3) Sel(1),1980-1998; 1999-2017,1980-1998; 1999-2014; 2015-2017,1980-2017,1
26,model.26_232,Surv(2) Mat(3) Sel(2),1980-1998; 1999-2017,1980-1998; 1999-2014; 2015-2017,1980-1998; 1999-2017,1
27,model.27_232,Surv(2) Mat(3) Sel(2),1980-1998; 1999-2017,1980-1998; 1999-2014; 2015-2017,1980-2014; 2015-2017,0
28,model.28_233,Surv(2) Mat(3) Sel(3),1980-1998; 1999-2017,1980-1998; 1999-2014; 2015-2017,1980-1998; 1999-2014; 2015-2017,0
29,model.29_231,Surv(2) Mat(3) Sel(1),1980-2014; 2015-2017,1980-1998; 1999-2014; 2015-2017,1980-2017,1
30,model.30_232,Surv(2) Mat(3) Sel(2),1980-2014; 2015-2017,1980-1998; 1999-2014; 2015-2017,1980-1998; 1999-2017,0
31,model.31_232,Surv(2) Mat(3) Sel(2),1980-2014; 2015-2017,1980-1998; 1999-2014; 2015-2017,1980-2014; 2015-2017,1
32,model.32_233,Surv(2) Mat(3) Sel(3),1980-2014; 2015-2017,1980-1998; 1999-2014; 2015-2017,1980-1998; 1999-2014; 2015-2017,1
33,model.33_331,Surv(3) Mat(3) Sel(1),1980-1998; 1999-2014; 2015-2017,1980-1998; 1999-2014; 2015-2017,1980-2017,0
34,model.34_332,Surv(3) Mat(3) Sel(2),1980-1998; 1999-2014; 2015-2017,1980-1998; 1999-2014; 2015-2017,1980-1998; 1999-2017,0
35,model.35_332,Surv(3) Mat(3) Sel(2),1980-1998; 1999-2014; 2015-2017,1980-1998; 1999-2014; 2015-2017,1980-2014; 2015-2017,0
36,model.36_333,Surv(3) Mat(3) Sel(3),1980-1998; 1999-2014; 2015-2017,1980-1998; 1999-2014; 2015-2017,1980-1998; 1999-2014; 2015-2017,1
