"YEAR" "JAN" "FEB" "MAR" "APR" "MAY" "JUN" "JUL" "AUG" "SEP" "OCT" "NOV" "DEC"
"1" "1900" "0.04" "1.32" "0.49" "0.35" "0.77" "0.65" "0.95" "0.14" "-0.24" "0.23" "-0.44" "1.19"
"2" "1901" "0.79" "-0.12" "0.35" "0.61" "-0.42" "-0.05" "-0.60" "-1.20" "-0.33" "0.16" "-0.60" "-0.14"
"3" "1902" "0.82" "1.58" "0.48" "1.37" "1.09" "0.52" "1.58" "1.57" "0.44" "0.70" "0.16" "-1.10"
"4" "1903" "0.86" "-0.24" "-0.22" "-0.50" "0.43" "0.23" "0.40" "1.01" "-0.24" "0.18" "0.08" "-0.03"
"5" "1904" "0.63" "-0.91" "-0.71" "-0.07" "-0.22" "-1.53" "-1.58" "-0.64" "0.06" "0.43" "1.45" "0.06"
"6" "1905" "0.73" "0.91" "1.31" "1.59" "-0.07" "0.69" "0.85" "1.26" "-0.03" "-0.15" "1.11" "-0.50"
"7" "1906" "0.92" "1.18" "0.83" "0.74" "0.44" "1.24" "0.09" "-0.53" "-0.31" "0.08" "1.69" "-0.54"
"8" "1907" "-0.30" "-0.32" "-0.19" "-0.16" "0.16" "0.57" "0.63" "-0.96" "-0.23" "0.84" "0.66" "0.72"
"9" "1908" "1.36" "1.02" "0.67" "0.23" "0.23" "0.41" "0.60" "-1.04" "-0.16" "-0.41" "0.47" "1.16"
"10" "1909" "0.23" "1.01" "0.54" "0.24" "-0.39" "-0.64" "-0.39" "-0.68" "-0.89" "-0.02" "-0.40" "-0.01"
"11" "1910" "-0.25" "-0.70" "0.18" "-0.37" "-0.06" "-0.28" "0.03" "-0.06" "0.40" "-0.66" "0.02" "0.84"
"12" "1911" "-1.11" "0.00" "-0.78" "-0.73" "0.17" "0.02" "0.48" "0.43" "0.29" "0.20" "-0.86" "0.01"
"13" "1912" "-1.72" "-0.23" "-0.04" "-0.38" "-0.02" "0.77" "1.07" "-0.84" "0.94" "0.56" "0.74" "0.98"
"14" "1913" "-0.03" "0.34" "0.06" "-0.92" "0.66" "1.43" "1.06" "1.29" "0.73" "0.62" "0.75" "0.90"
"15" "1914" "0.34" "-0.29" "0.08" "1.20" "0.11" "0.11" "-0.21" "0.11" "-0.34" "-0.11" "0.03" "0.89"
"16" "1915" "-0.41" "0.14" "-1.22" "1.40" "0.32" "0.99" "1.07" "0.27" "-0.05" "-0.43" "-0.12" "0.17"
"17" "1916" "-0.64" "-0.19" "-0.11" "0.35" "0.42" "-0.82" "-0.78" "-0.73" "-0.77" "-0.22" "-0.68" "-1.94"
"18" "1917" "-0.79" "-0.84" "-0.71" "-0.34" "0.82" "-0.03" "0.10" "-0.22" "-0.40" "-1.75" "-0.34" "-0.60"
"19" "1918" "-1.13" "-0.66" "-1.15" "-0.32" "-0.33" "0.07" "0.98" "-0.31" "-0.59" "0.61" "0.34" "0.86"
"20" "1919" "-1.07" "1.31" "-0.50" "0.08" "0.17" "-0.71" "-0.47" "0.38" "0.06" "-0.42" "-0.80" "0.76"
"21" "1920" "-1.18" "0.06" "-0.78" "-1.29" "-0.97" "-1.30" "-0.90" "-2.21" "-1.28" "-1.06" "-0.26" "0.29"
"22" "1921" "-0.66" "-0.61" "-0.01" "-0.93" "-0.42" "0.40" "-0.58" "-0.69" "-0.78" "-0.23" "1.92" "1.42"
"23" "1922" "1.05" "-0.85" "0.08" "0.43" "-0.19" "-1.04" "-0.82" "-0.93" "-0.81" "0.84" "-0.60" "0.48"
"24" "1923" "0.75" "-0.04" "0.49" "0.99" "-0.20" "0.68" "1.16" "0.84" "-0.24" "1.10" "0.62" "-0.36"
"25" "1924" "1.29" "0.73" "1.13" "-0.02" "0.36" "0.75" "-0.55" "-0.67" "-0.48" "-1.25" "0.24" "0.11"
"26" "1925" "-0.05" "-0.14" "0.20" "0.86" "0.79" "-1.08" "-0.06" "-0.86" "0.52" "0.04" "0.88" "1.19"
"27" "1926" "0.30" "0.98" "-0.50" "2.10" "1.43" "2.03" "1.05" "1.64" "1.18" "1.65" "1.00" "1.06"
"28" "1927" "1.07" "1.73" "0.15" "-0.18" "0.30" "0.69" "-0.31" "-0.73" "-0.41" "-0.62" "-0.07" "0.07"
"29" "1928" "0.96" "0.79" "0.52" "0.81" "0.66" "0.15" "0.30" "-0.72" "-1.41" "-1.31" "0.14" "0.98"
"30" "1929" "0.97" "0.52" "0.50" "0.55" "1.07" "0.50" "-0.06" "-0.69" "0.45" "-0.21" "1.24" "-0.03"
"31" "1930" "0.97" "-1.06" "-0.43" "-0.70" "0.06" "0.58" "-0.45" "-0.53" "-0.20" "-0.38" "-0.31" "1.20"
"32" "1931" "0.08" "1.56" "1.13" "1.28" "1.66" "0.39" "1.49" "0.02" "-0.01" "-0.17" "0.34" "1.09"
"33" "1932" "-0.26" "-0.58" "0.51" "1.15" "0.64" "0.10" "-0.12" "-0.14" "-0.40" "-0.29" "-0.88" "0.02"
"34" "1933" "0.29" "0.02" "0.15" "-0.05" "-0.50" "-0.68" "-1.81" "-1.56" "-2.28" "-1.19" "0.55" "-1.10"
